DATE,TMIN,DAY,year,month
1904-10-15,0.04700215480457359,15,1904,10
1904-11-24,-3.5209548344427386,24,1904,11
1904-12-31,-3.872352683905104,31,1904,12
1905-01-02,-7.475578490356717,2,1905,1
1905-02-12,-4.714288167776072,12,1905,2
1905-03-02,-2.243320425840588,2,1905,3
1905-04-08,-2.2942881677760716,8,1905,4
1905-05-24,1.1760344128690896,24,1905,5
1905-06-14,6.459045165557261,14,1905,6
1905-07-20,7.537324735449736,20,1905,7
1905-08-24,6.217969896740057,24,1905,8
1905-09-16,3.842378498890594,16,1905,9
1905-10-24,-2.60138494196962,24,1905,10
1905-11-16,-3.9309548344427387,16,1905,11
1905-12-31,-5.352997845195427,31,1905,12
1906-01-24,-4.559449458098652,24,1906,1
1906-02-09,-5.8750024534903575,9,1906,2
1906-03-15,-4.985255909711556,15,1906,3
1906-04-05,-2.790954834442738,5,1906,4
1906-05-02,2.4889376386755417,2,1906,5
1906-06-06,3.9257118322239277,6,1906,6
1906-07-01,6.5566795741594115,1,1906,7
1906-08-28,6.77603441286909,28,1906,8
1906-09-25,3.08904516555726,25,1906,9
1906-10-15,3.0663569935142503,15,1906,10
1906-11-11,-0.8476215011094048,11,1906,11
1906-12-29,-8.22396558713091,29,1906,12
1907-01-23,-6.7013849419696205,23,1907,1
1907-02-02,-8.214288167776072,2,1907,2
1907-03-12,-4.388481716163168,12,1907,3
1907-04-20,-2.1809548344427383,20,1907,4
1907-05-20,1.672808606417477,20,1907,5
1907-06-18,4.035711832223929,18,1907,6
1907-07-03,4.16635699351425,3,1907,7
1907-08-25,5.737324735449737,25,1907,8
1907-09-23,4.072378498890596,23,1907,9
1907-10-26,2.463131187062639,26,1907,10
1907-11-23,-2.2709548344427386,23,1907,11
1907-12-28,-4.843320425840588,28,1907,12
1908-01-03,-9.788481716163169,3,1908,1
1908-02-03,-4.9522192022588305,3,1908,2
1908-03-02,-5.249772038743814,2,1908,3
1908-04-21,-3.614288167776072,21,1908,4
1908-05-24,3.6211957031916677,24,1908,5
1908-06-08,5.425711832223928,8,1908,6
1908-07-06,6.624421509643285,6,1908,7
1908-08-12,4.979260219320705,12,1908,8
1908-09-13,4.195711832223929,13,1908,9
1908-10-21,0.624421509643283,21,1908,10
1908-11-09,-4.247621501109405,9,1908,11
1908-12-29,-7.117513974227685,29,1908,12
1909-01-26,-7.87880429680833,26,1909,1
1909-02-12,-7.9678595963475,12,1909,2
1909-03-05,-5.533643006485749,5,1909,3
1909-04-03,-1.3976215011094055,3,1909,4
1909-05-14,-0.11428816777607143,14,1909,5
1909-06-07,2.945711832223929,7,1909,6
1909-07-03,4.895389251578767,3,1909,7
1909-08-23,6.534098928998122,23,1909,8
1909-09-03,3.235711832223928,3,1909,9
1909-10-26,2.2728086064174766,26,1909,10
1909-11-20,-5.0276215011094045,20,1909,11
1909-12-21,-4.843320425840588,21,1909,12
1910-01-26,-4.907836554872846,26,1910,1
1910-02-02,-4.6285738820617865,2,1910,2
1910-03-31,-4.1529978451954275,31,1910,3
1910-04-01,-2.0976215011094053,1,1910,4
1910-05-05,1.963131187062638,5,1910,5
1910-06-27,6.365711832223929,27,1910,6
1910-07-03,5.650227961256188,3,1910,7
1910-08-28,6.179260219320702,28,1910,8
1910-09-22,3.945711832223929,22,1910,9
1910-10-15,1.9437763483529604,15,1910,10
1910-11-26,-4.764288167776072,26,1910,11
1910-12-28,-2.269126877453491,28,1910,12
1911-01-15,-7.465901071001879,15,1911,1
1911-02-01,-5.196431024918929,1,1911,2
1911-03-17,-3.6304172000341364,17,1911,3
1911-04-06,-3.037621501109405,6,1911,4
1911-05-07,3.0953892515787667,7,1911,5
1911-06-11,4.232378498890594,11,1911,6
1911-07-04,7.788937638675541,4,1911,7
1911-08-31,9.001840864481991,31,1911,8
1911-09-17,4.355711832223927,17,1911,9
1911-10-29,0.592163445127154,29,1911,10
1911-11-26,-2.594288167776072,26,1911,11
1911-12-07,-2.4659010710018787,7,1911,12
1912-01-28,-5.356223651647039,28,1912,1
1912-02-03,-3.1867019608795197,3,1912,2
1912-03-08,-1.2529978451954271,8,1912,3
1912-04-13,-1.6909548344427385,13,1912,4
1912-05-01,1.7405505419013476,1,1912,5
1912-06-17,5.192378498890597,17,1912,6
1912-07-20,7.88893763867554,20,1912,7
1912-08-03,4.621195703191668,3,1912,8
1912-09-26,1.0657118322239283,26,1912,9
1912-10-07,-1.4304172000341362,7,1912,10
1912-11-07,-3.197621501109405,7,1912,11
1912-12-01,-2.746546232292201,1,1912,12
1913-01-11,-4.436868812937362,11,1913,1
1913-02-20,-5.396431024918929,20,1913,2
1913-03-02,-1.8400946193889745,2,1913,3
1913-04-14,-1.2676215011094047,14,1913,4
1913-05-19,2.463131187062639,19,1913,5
1913-06-01,4.385711832223929,1,1913,6
1913-07-08,4.763131187062638,8,1913,7
1913-08-07,5.050227961256186,7,1913,8
1913-09-11,4.052378498890595,11,1913,9
1913-10-18,2.124421509643283,18,1913,10
1913-11-24,0.2623784988905955,24,1913,11
1913-12-20,-4.985255909711556,20,1913,12
1914-01-23,-9.569126877453492,23,1914,1
1914-02-26,-2.739288167776072,26,1914,2
1914-03-11,-2.7175139742276846,11,1914,3
1914-04-16,0.03904516555726101,16,1914,4
1914-05-02,1.1115182838368316,2,1914,5
1914-06-04,3.325711832223928,4,1914,6
1914-07-27,6.9276473160948955,27,1914,7
1914-08-19,6.934098928998121,19,1914,8
1914-09-23,3.9357118322239275,23,1914,9
1914-10-07,0.25667957415941256,7,1914,10
1914-11-23,-3.540954834442738,23,1914,11
1914-12-25,-3.0691268774534914,25,1914,12
1915-01-29,-5.25622365164704,29,1915,1
1915-02-26,-5.0928595963475,26,1915,2
1915-03-29,-4.749772038743814,29,1915,3
1915-04-01,-2.8276215011094052,1,1915,4
1915-05-15,2.1599053806110247,15,1915,5
1915-06-19,5.39904516555726,19,1915,6
1915-07-19,5.540550541901347,19,1915,7
1915-08-20,5.92119570319167,20,1915,8
1915-09-04,3.369045165557261,4,1915,9
1915-10-23,-1.0336430064857494,23,1915,10
1915-11-28,-6.1509548344427385,28,1915,11
1915-12-13,-2.198159135518008,13,1915,12
1916-01-31,-2.640094619388975,31,1916,1
1916-02-23,-6.290150236741589,23,1916,2
1916-03-09,-4.433643006485749,9,1916,3
1916-04-09,-1.210954834442739,9,1916,4
1916-05-09,2.7437763483529602,9,1916,5
1916-06-20,2.1890451655572614,20,1916,6
1916-07-19,5.392163445127156,19,1916,7
1916-08-06,6.392163445127156,6,1916,8
1916-09-19,3.9357118322239275,19,1916,9
1916-10-21,1.2308731225465088,21,1916,10
1916-11-18,-2.8476215011094053,18,1916,11
1916-12-01,-5.446546232292201,1,1916,12
1917-01-26,-9.149772038743814,26,1917,1
1917-02-02,-11.428573882061785,2,1917,2
1917-03-08,-6.933643006485749,8,1917,3
1917-04-02,-5.074288167776071,2,1917,4
1917-05-06,4.1857118322239275,6,1917,5
1917-06-03,6.669045165557262,3,1917,6
1917-07-22,6.434098928998121,22,1917,7
1917-08-21,6.340550541901348,21,1917,8
1917-09-30,4.155711832223928,30,1917,9
1917-10-28,-1.649772038743813,28,1917,10
1917-11-12,-1.6842881677760717,12,1917,11
1917-12-23,-9.291707522614782,23,1917,12
1918-01-08,-5.785255909711555,8,1918,1
1918-02-17,-4.3071453106332145,17,1918,2
1918-03-27,-4.6691268774534915,27,1918,3
1918-04-20,-1.2342881677760715,20,1918,4
1918-05-01,3.4340989289981207,1,1918,5
1918-06-16,2.192378498890595,16,1918,6
1918-07-05,5.356679574159412,5,1918,7
1918-08-30,5.695389251578766,30,1918,8
1918-09-29,3.74904516555726,29,1918,9
1918-10-09,0.13732473544973445,9,1918,10
1918-11-18,-4.140954834442739,18,1918,11
1918-12-01,-2.1046107484212326,1,1918,12
1919-01-31,-5.936868812937362,31,1919,1
1919-02-08,-7.9178595963475,8,1919,2
1919-03-25,-4.37880429680833,25,1919,3
1919-04-29,-3.654288167776072,29,1919,4
1919-05-01,2.6437763483529606,1,1919,5
1919-06-22,4.189045165557265,22,1919,6
1919-07-15,3.8663569935142528,15,1919,7
1919-08-25,5.356679574159412,25,1919,8
1919-09-29,4.289045165557265,29,1919,9
1919-10-12,-2.6078365548728457,12,1919,10
1919-11-11,-6.244288167776071,11,1919,11
1919-12-11,-4.4046107484212325,11,1919,12
1920-01-06,-4.730417200034137,6,1920,1
1920-02-23,-3.431529547086416,23,1920,2
1920-03-08,-2.3013849419696197,8,1920,3
1920-04-22,-0.297621501109405,22,1920,4
1920-05-05,2.2502279612561855,5,1920,5
1920-06-08,4.585711832223928,8,1920,6
1920-07-28,5.498615058030379,28,1920,7
1920-08-31,3.9824860257723147,31,1920,8
1920-09-11,3.3723784988905967,11,1920,9
1920-10-30,-0.3659010710018782,30,1920,10
1920-11-22,-5.967621501109405,22,1920,11
1920-12-16,-5.985255909711555,16,1920,12
1921-01-15,-2.375578490356717,15,1921,1
1921-02-11,-5.642859596347501,11,1921,2
1921-03-03,-3.0755784903567176,3,1921,3
1921-04-16,-2.260954834442739,16,1921,4
1921-05-04,2.2889376386755407,4,1921,5
1921-06-15,3.7690451655572597,15,1921,6
1921-07-03,6.73409892899812,3,1921,7
1921-08-31,5.721195703191673,31,1921,8
1921-09-29,3.535711832223929,29,1921,9
1921-10-25,3.2986150580303795,25,1921,10
1921-11-30,-7.6509548344427385,30,1921,11
1921-12-05,-5.32396558713091,5,1921,12
1922-01-24,-7.45622365164704,24,1922,1
1922-02-05,-6.567859596347501,5,1922,2
1922-03-23,-4.591707522614781,23,1922,3
1922-04-02,-3.407621501109405,2,1922,4
1922-05-14,2.227647316094896,14,1922,5
1922-06-18,4.222378498890596,18,1922,6
1922-07-28,4.979260219320705,28,1922,7
1922-08-16,4.805066670933605,16,1922,8
1922-09-18,2.832378498890594,18,1922,9
1922-10-26,-3.194933329066395,26,1922,10
1922-11-14,-4.1542881677760715,14,1922,11
1922-12-09,-3.6981591355180075,9,1922,12
1923-01-18,-4.772352683905105,18,1923,1
1923-02-18,-3.582145310633215,18,1923,2
1923-03-19,-2.307836554872846,19,1923,3
1923-04-09,-2.5609548344427386,9,1923,4
1923-05-25,0.6824860257723149,25,1923,5
1923-06-07,1.245711832223929,7,1923,6
1923-07-02,7.847002154804572,2,1923,7
1923-08-31,5.463131187062639,31,1923,8
1923-09-03,3.1357118322239286,3,1923,9
1923-10-16,1.801840864481993,16,1923,10
1923-11-27,-5.604288167776072,27,1923,11
1923-12-31,-7.182030103259943,31,1923,12
1924-01-05,-6.559449458098652,5,1924,1
1924-02-18,-8.128081271224348,18,1924,2
1924-03-17,-5.504610748421233,17,1924,3
1924-04-03,-2.3876215011094053,3,1924,4
1924-05-06,3.011518283836833,6,1924,5
1924-06-06,4.25904516555726,6,1924,6
1924-07-27,5.547002154804573,27,1924,7
1924-08-28,4.524421509643283,28,1924,8
1924-09-11,4.112378498890597,11,1924,9
1924-10-24,1.801840864481993,24,1924,10
1924-11-17,-3.264288167776072,17,1924,11
1924-12-13,-4.394933329066395,13,1924,12
1925-01-12,-4.417513974227685,12,1925,1
1925-02-24,-3.503573882061786,24,1925,2
1925-03-13,-5.782030103259943,13,1925,3
1925-04-22,-1.754288167776072,22,1925,4
1925-05-03,2.9824860257723147,3,1925,5
1925-06-20,3.2223784988905964,20,1925,6
1925-07-10,7.017969896740058,10,1925,7
1925-08-16,5.937324735449734,16,1925,8
1925-09-14,1.459045165557261,14,1925,9
1925-10-15,0.608292477385219,15,1925,10
1925-11-29,-6.127621501109405,29,1925,11
1925-12-05,-6.523965587130911,5,1925,12
1926-01-15,-5.388481716163168,15,1926,1
1926-02-10,-1.521431024918929,10,1926,2
1926-03-22,-3.488481716163168,22,1926,3
1926-04-11,-0.5809548344427382,11,1926,4
1926-05-09,0.15667957415941203,9,1926,5
1926-06-25,3.3590451655572595,25,1926,6
1926-07-28,7.3695827999658645,28,1926,7
1926-08-27,5.914744090288445,27,1926,8
1926-09-26,5.49904516555726,26,1926,9
1926-10-27,-0.875578490356717,27,1926,10
1926-11-02,-1.424288167776072,2,1926,11
1926-12-25,-6.285255909711555,25,1926,12
1927-01-22,-4.417513974227685,22,1927,1
1927-02-09,-5.664288167776072,9,1927,2
1927-03-15,-2.136868812937362,15,1927,3
1927-04-27,-1.9109548344427383,27,1927,4
1927-05-12,0.2599053806110252,12,1927,5
1927-06-05,3.2757118322239274,5,1927,6
1927-07-20,7.0082924773852175,20,1927,7
1927-08-26,6.856679574159412,26,1927,8
1927-09-28,4.469045165557261,28,1927,9
1927-10-04,0.7631311870626378,4,1927,10
1927-11-23,-3.587621501109405,23,1927,11
1927-12-18,-9.320739780679297,18,1927,12
1928-01-02,-4.472352683905104,2,1928,1
1928-02-23,-3.8108398919140027,23,1928,2
1928-03-11,-3.682030103259943,11,1928,3
1928-04-23,-1.5076215011094058,23,1928,4
1928-05-12,0.463131187062638,12,1928,5
1928-06-16,3.2123784988905966,16,1928,6
1928-07-08,5.559905380611025,8,1928,7
1928-08-18,5.959905380611024,18,1928,8
1928-09-23,1.872378498890595,23,1928,9
1928-10-13,0.18248602577231487,13,1928,10
1928-11-10,-1.124288167776072,10,1928,11
1928-12-14,-5.55622365164704,14,1928,12
1929-01-27,-9.820739780679297,27,1929,1
1929-02-14,-13.846431024918928,14,1929,2
1929-03-01,-5.217513974227685,1,1929,3
1929-04-06,-4.314288167776072,6,1929,4
1929-05-04,1.7792602193207019,4,1929,5
1929-06-25,2.7623784988905955,25,1929,6
1929-07-08,5.972808606417478,8,1929,7
1929-08-20,5.0534537677078,20,1929,8
1929-09-21,5.58904516555726,21,1929,9
1929-10-27,0.8921634451271538,27,1929,10
1929-11-15,-2.7676215011094047,15,1929,11
1929-12-20,-2.9594494580986517,20,1929,12
1930-01-28,-2.9562236516470395,28,1930,1
1930-02-22,-6.7500024534903575,22,1930,2
1930-03-01,-4.00138494196962,1,1930,3
1930-04-20,-0.5842881677760712,20,1930,4
1930-05-08,1.1534537677077985,8,1930,5
1930-06-09,6.08904516555726,9,1930,6
1930-07-11,5.885711832223929,11,1930,7
1930-08-20,6.279260219320704,20,1930,8
1930-09-28,4.502378498890596,28,1930,9
1930-10-27,1.2308731225465088,27,1930,10
1930-11-18,-1.3909548344427387,18,1930,11
1930-12-26,-5.582030103259942,26,1930,12
1931-01-09,-5.140094619388975,9,1931,1
1931-02-20,-7.157145310633215,20,1931,2
1931-03-10,-6.420739780679297,10,1931,3
1931-04-01,-2.5209548344427386,1,1931,4
1931-05-10,2.624421509643283,10,1931,5
1931-06-21,5.075711832223928,21,1931,6
1931-07-21,6.001840864481992,21,1931,7
1931-08-24,5.811518283836832,24,1931,8
1931-09-24,1.1290451655572618,24,1931,9
1931-10-28,-1.3142881677760725,28,1931,10
1931-11-18,-1.217621501109405,18,1931,11
1931-12-23,-5.640094619388975,23,1931,12
1932-01-28,-3.9465462322922016,28,1932,1
1932-02-13,-8.290150236741589,13,1932,2
1932-03-12,-5.920739780679297,12,1932,3
1932-04-14,-2.5242881677760716,14,1932,4
1932-05-06,1.705066670933606,6,1932,5
1932-06-07,4.5290451655572594,7,1932,6
1932-07-07,6.58893763867554,7,1932,7
1932-08-02,8.859905380611025,2,1932,8
1932-09-22,5.315711832223928,22,1932,9
1932-10-06,0.35022796125618694,6,1932,10
1932-11-29,-3.254288167776072,29,1932,11
1932-12-10,-4.085255909711556,10,1932,12
1933-01-26,-8.188481716163167,26,1933,1
1933-02-24,-6.160716739204643,24,1933,2
1933-03-21,-2.8529978451954268,21,1933,3
1933-04-15,-1.9576215011094051,15,1933,4
1933-05-16,1.5953892515787675,16,1933,5
1933-06-01,4.475711832223928,1,1933,6
1933-07-01,6.901840864481993,1,1933,7
1933-08-25,6.892163445127156,25,1933,8
1933-09-15,4.395711832223928,15,1933,9
1933-10-30,0.7147440902884439,30,1933,10
1933-11-10,-4.324288167776071,10,1933,11
1933-12-14,-11.440094619388976,14,1933,12
1934-01-24,-5.872352683905104,24,1934,1
1934-02-03,-6.103573882061786,3,1934,2
1934-03-02,-4.60138494196962,2,1934,3
1934-04-10,-0.004288167776071106,10,1934,4
1934-05-27,0.8631311870626375,27,1934,5
1934-06-08,5.069045165557262,8,1934,6
1934-07-04,6.6276473160948965,4,1934,7
1934-08-31,5.6695827999658635,31,1934,8
1934-09-01,5.559045165557261,1,1934,9
1934-10-18,2.1276473160948965,18,1934,10
1934-11-22,-3.3342881677760716,22,1934,11
1934-12-25,-0.48848171616316804,25,1934,12
1935-01-30,-5.630417200034136,30,1935,1
1935-02-10,-4.575002453490358,10,1935,2
1935-03-10,-4.585255909711556,10,1935,3
1935-04-04,-1.4909548344427392,4,1935,4
1935-05-14,0.28571183222392893,14,1935,5
1935-06-09,6.225711832223928,9,1935,6
1935-07-30,6.401840864481993,30,1935,7
1935-08-05,6.337324735449735,5,1935,8
1935-09-26,4.275711832223927,26,1935,9
1935-10-24,0.15022796125618587,24,1935,10
1935-11-26,-1.130954834442738,26,1935,11
1935-12-14,-5.5400946193889755,14,1935,12
1936-01-15,-3.4304172000341357,15,1936,1
1936-02-12,-6.7246329953622785,12,1936,2
1936-03-13,-2.1529978451954266,13,1936,3
1936-04-13,-3.357621501109405,13,1936,4
1936-05-31,1.8695827999658636,31,1936,5
1936-06-01,5.059045165557261,1,1936,6
1936-07-11,6.550227961256186,11,1936,7
1936-08-23,6.547002154804573,23,1936,8
1936-09-29,4.495711832223928,29,1936,9
1936-10-11,-1.5659010710018784,11,1936,10
1936-11-22,-3.074288167776072,22,1936,11
1936-12-10,-5.0078365548728465,10,1936,12
1937-01-29,-4.140094619388975,29,1937,1
1937-02-24,-3.2821453106332146,24,1937,2
1937-03-28,-5.230417200034136,28,1937,3
1937-04-26,-0.38762150110940574,26,1937,4
1937-05-09,3.3340989289981247,9,1937,5
1937-06-19,4.442378498890597,19,1937,6
1937-07-05,6.317969896740057,5,1937,7
1937-08-04,7.324421509643282,4,1937,8
1937-09-24,3.082378498890594,24,1937,9
1937-10-19,2.069582799965864,19,1937,10
1937-11-28,-4.124288167776072,28,1937,11
1937-12-21,-6.156223651647039,21,1937,12
1938-01-04,-4.394933329066395,4,1938,1
1938-02-16,-6.150002453490358,16,1938,2
1938-03-05,-1.9013849419696198,5,1938,3
1938-04-18,-3.747621501109405,18,1938,4
1938-05-09,0.4921634451271535,9,1938,5
1938-06-06,4.419045165557262,6,1938,6
1938-07-02,5.605066670933604,2,1938,7
1938-08-26,7.247002154804574,26,1938,8
1938-09-16,4.835711832223928,16,1938,9
1938-10-26,0.366356993514251,26,1938,10
1938-11-27,0.5290451655572621,27,1938,11
1938-12-20,-6.940094619388975,20,1938,12
1939-01-31,-3.1142881677760714,31,1939,1
1939-02-03,-4.885716739204643,3,1939,2
1939-03-19,-4.60138494196962,19,1939,3
1939-04-08,-0.10095483444273867,8,1939,4
1939-05-03,1.1502279612561859,3,1939,5
1939-06-14,4.952378498890597,14,1939,6
1939-07-13,6.014744090288445,13,1939,7
1939-08-14,7.121195703191668,14,1939,8
1939-09-28,4.522378498890597,28,1939,9
1939-10-23,-0.5078365548728465,23,1939,10
1939-11-22,-0.2442881677760722,22,1939,11
1939-12-22,-6.888481716163168,22,1939,12
1940-01-22,-14.252997845195427,22,1940,1
1940-02-14,-7.666012305707106,14,1940,2
1940-03-15,-3.643320425840588,15,1940,3
1940-04-12,-0.09762150110940482,12,1940,4
1940-05-13,2.59861505803038,13,1940,5
1940-06-28,5.842378498890594,28,1940,6
1940-07-29,5.5566795741594115,29,1940,7
1940-08-29,4.359905380611026,29,1940,8
1940-09-30,2.275711832223929,30,1940,9
1940-10-30,-0.5626752645502657,30,1940,10
1940-11-30,-1.8642881677760714,30,1940,11
1940-12-23,-8.104610748421234,23,1940,12
1941-01-17,-9.894933329066394,17,1941,1
1941-02-06,-5.825002453490358,6,1941,2
1941-03-31,-3.765901071001878,31,1941,3
1941-04-09,-2.4309548344427387,9,1941,4
1941-05-04,-0.9852559097115554,4,1941,5
1941-06-14,6.155711832223928,14,1941,6
1941-07-05,7.3792602193207,5,1941,7
1941-08-07,5.434098928998121,7,1941,8
1941-09-09,4.175711832223928,9,1941,9
1941-10-25,0.5211957031916699,25,1941,10
1941-11-15,-3.4409548344427385,15,1941,11
1941-12-29,-4.546546232292201,29,1941,12
1942-01-22,-13.188481716163169,22,1942,1
1942-02-08,-12.32143102491893,8,1942,2
1942-03-06,-4.236868812937362,6,1942,3
1942-04-03,-0.7742881677760725,3,1942,4
1942-05-05,1.5986150580303802,5,1942,5
1942-06-08,4.469045165557261,8,1942,6
1942-07-13,6.405066670933606,13,1942,7
1942-08-05,7.766356993514248,5,1942,8
1942-09-29,4.969045165557261,29,1942,9
1942-10-11,3.188937638675541,11,1942,10
