date,TXn_seasonal
1929-06-01,12.2
1929-09-01,5.6
1929-12-01,-1.5
1930-03-01,4.9
1930-06-01,11.6
1930-09-01,4.5
1930-12-01,-1.6
1931-03-01,-1.1
1931-06-01,12.1
1931-09-01,5.0
1931-12-01,-5.0
1932-03-01,0.8
1932-06-01,10.9
1932-09-01,1.6
1932-12-01,-5.4
1933-03-01,7.7
1933-06-01,10.3
1933-09-01,1.8
1933-12-01,-7.4
1934-03-01,4.5
1934-06-01,13.2
1934-09-01,4.8
1934-12-01,-1.4
1935-03-01,0.8
1935-06-01,13.4
1935-09-01,1.4
1935-12-01,-2.5
1936-03-01,0.9
1936-06-01,12.1
1936-09-01,-1.1
1936-12-01,-4.0
1937-03-01,-0.4
1937-06-01,12.6
1937-09-01,1.9
1937-12-01,-2.7
1938-03-01,5.5
1938-06-01,15.5
1938-09-01,5.3
1938-12-01,-11.6
1939-03-01,1.7
1939-06-01,13.3
1939-09-01,2.9
1939-12-01,-10.3
1940-03-01,3.5
1940-06-01,13.4
1940-09-01,1.6
1940-12-01,-7.9
1941-03-01,2.1
1941-06-01,13.7
1941-09-01,-0.4
1941-12-01,-9.6
1942-03-01,-1.4
1942-06-01,12.0
1942-09-01,2.9
1942-12-01,-3.0
1943-03-01,6.2
1943-06-01,14.6
1943-09-01,-0.2
1943-12-01,-2.1
1944-03-01,-0.3
1944-06-01,10.6
1944-09-01,2.6
1944-12-01,-4.7
1945-03-01,5.1
1945-06-01,15.3
1945-09-01,0.8
1945-12-01,-5.5
1946-03-01,-0.6
1946-06-01,14.6
1946-09-01,1.8
1946-12-01,-8.2
1947-03-01,0.7
1947-06-01,13.9
1947-09-01,2.0
1947-12-01,-6.0
1948-03-01,7.1
1948-06-01,12.5
1948-09-01,3.5
1948-12-01,-0.6
1949-03-01,1.3
1949-06-01,12.5
1949-09-01,2.1
1949-12-01,-3.3
1950-03-01,5.5
1950-06-01,15.8
1950-09-01,4.0
1950-12-01,-7.2
1951-03-01,2.4
1951-06-01,13.3
1951-09-01,7.2
1951-12-01,-0.1
1952-03-01,0.6
1952-06-01,15.8
1952-09-01,0.5
1952-12-01,-1.9
1953-03-01,4.9
1953-06-01,11.5
1953-09-01,2.4
1953-12-01,-8.2
1954-03-01,2.0
1954-06-01,12.1
1954-09-01,3.7
1954-12-01,-2.7
1955-03-01,1.6
1955-06-01,12.6
1955-09-01,3.8
1955-12-01,-11.5
1956-03-01,2.0
1956-06-01,10.8
1956-09-01,-1.0
1956-12-01,-1.7
1957-03-01,6.9
1957-06-01,10.8
1957-09-01,2.1
1957-12-01,-2.3
1958-03-01,0.1
1958-06-01,13.9
1958-09-01,2.2
1958-12-01,-3.0
1959-03-01,6.3
1959-06-01,14.8
1959-09-01,2.2
1959-12-01,-5.9
1960-03-01,3.7
1960-06-01,13.9
1960-09-01,6.2
1960-12-01,-3.4
1961-03-01,6.6
1961-06-01,10.4
1961-09-01,4.7
1961-12-01,-3.8
1962-03-01,0.2
1962-06-01,11.3
1962-09-01,0.7
1962-12-01,-8.5
1963-03-01,2.0
1963-06-01,12.3
1963-09-01,4.4
1963-12-01,-4.0
1964-03-01,-0.8
1964-06-01,13.6
1964-09-01,3.4
1964-12-01,-4.9
1965-03-01,-1.7
1965-06-01,13.3
1965-09-01,-1.3
1965-12-01,-6.6
1966-03-01,0.9
1966-06-01,12.3
1966-09-01,1.2
1966-12-01,-3.7
1967-03-01,5.6
1967-06-01,13.8
1967-09-01,2.1
1967-12-01,-3.1
1968-03-01,3.4
1968-06-01,13.0
1968-09-01,-1.8
1968-12-01,-5.8
1969-03-01,1.8
1969-06-01,12.7
1969-09-01,0.8
1969-12-01,-6.0
1970-03-01,1.3
1970-06-01,13.9
1970-09-01,5.8
1970-12-01,-3.5
1971-03-01,-3.0
1971-06-01,11.4
1971-09-01,1.1
1971-12-01,-4.6
1972-03-01,2.7
1972-06-01,12.4
1972-09-01,2.2
1972-12-01,-1.4
1973-03-01,5.0
1973-06-01,14.9
1973-09-01,1.6
1973-12-01,-6.1
1974-03-01,3.3
1974-06-01,11.4
1974-09-01,5.4
1974-12-01,4.1
1975-03-01,1.9
1975-06-01,11.7
1975-09-01,1.1
1975-12-01,-4.2
1976-03-01,0.2
1976-06-01,12.4
1976-09-01,2.8
1976-12-01,-2.5
1977-03-01,4.9
1977-06-01,13.1
1977-09-01,0.9
1977-12-01,-2.2
1978-03-01,4.4
1978-06-01,12.7
1978-09-01,-0.7
1978-12-01,-8.1
1979-03-01,3.3
1979-06-01,13.8
1979-09-01,3.5
1979-12-01,-2.2
1980-03-01,2.7
1980-06-01,12.5
1980-09-01,-2.3
1980-12-01,-0.9
1981-03-01,1.6
1981-06-01,11.1
1981-09-01,3.5
1981-12-01,-6.9
1982-03-01,5.6
1982-06-01,15.1
1982-09-01,4.2
1982-12-01,-2.0
1983-03-01,3.1
1983-06-01,15.9
1983-09-01,2.3
1983-12-01,-0.8
1984-03-01,2.3
1984-06-01,12.2
1984-09-01,6.8
1984-12-01,-8.7
1985-03-01,0.6
1985-06-01,11.2
1985-09-01,-2.3
1985-12-01,-5.7
1986-03-01,0.7
1986-06-01,11.4
1986-09-01,6.0
1986-12-01,-9.7
1987-03-01,-2.2
1987-06-01,12.6
1987-09-01,2.9
1987-12-01,-2.0
1988-03-01,2.8
1988-06-01,13.8
1988-09-01,0.8
1988-12-01,0.7
1989-03-01,4.0
1989-06-01,12.6
1989-09-01,0.3
1989-12-01,0.5
1990-03-01,5.1
1990-06-01,14.3
1990-09-01,1.9
1990-12-01,-6.7
1991-03-01,5.5
1991-06-01,9.7
1991-09-01,3.2
1991-12-01,-1.0
1992-03-01,6.2
1992-06-01,14.9
1992-09-01,5.6
1992-12-01,-2.9
1993-03-01,1.0
1993-06-01,13.9
1993-09-01,-2.8
1993-12-01,-1.8
1994-03-01,6.6
1994-06-01,13.4
1994-09-01,6.2
1994-12-01,-1.9
1995-03-01,4.0
1995-06-01,11.2
1995-09-01,5.0
1995-12-01,-6.3
1996-03-01,1.8
1996-06-01,11.8
1996-09-01,2.2
1996-12-01,-10.1
1997-03-01,8.2
1997-06-01,15.0
1997-09-01,3.0
1997-12-01,-1.2
1998-03-01,5.0
1998-06-01,15.4
1998-09-01,-1.1
1998-12-01,-1.9
1999-03-01,4.7
1999-06-01,14.3
1999-09-01,1.8
1999-12-01,0.4
2000-03-01,5.3
2000-06-01,13.4
2000-09-01,6.5
2000-12-01,-1.0
2001-03-01,0.7
2001-06-01,13.0
2001-09-01,4.8
2001-12-01,-1.2
2002-03-01,3.6
2002-06-01,14.1
2002-09-01,7.7
2002-12-01,-3.5
2003-03-01,5.1
2003-06-01,16.7
2003-09-01,4.4
2003-12-01,-2.5
2004-03-01,1.9
2004-06-01,15.4
2004-09-01,4.8
2004-12-01,-1.2
2005-03-01,-0.9
2005-06-01,13.9
2005-09-01,1.6
2005-12-01,-2.7
2006-03-01,0.9
2006-06-01,11.5
2006-09-01,7.6
2006-12-01,0.1
2007-03-01,5.4
2007-06-01,15.0
2007-09-01,5.5
2007-12-01,-0.2
2008-03-01,3.9
2008-06-01,13.1
2008-09-01,2.3
2008-12-01,-5.8
2009-03-01,6.6
2009-06-01,14.6
2009-09-01,7.3
2009-12-01,-2.9
2010-03-01,1.5
2010-06-01,13.5
2010-09-01,-2.0
2010-12-01,-4.5
2011-03-01,5.4
2011-06-01,14.3
2011-09-01,7.1
2011-12-01,-5.6
2012-03-01,4.6
2012-06-01,13.2
2012-09-01,2.4
2012-12-01,-4.4
2013-03-01,-1.3
2013-06-01,14.7
2013-09-01,4.1
2013-12-01,4.6
2014-03-01,6.6
2014-06-01,15.3
2014-09-01,2.9
2014-12-01,-2.3
2015-03-01,6.2
2015-06-01,13.8
2015-09-01,4.7
2015-12-01,-0.9
2016-03-01,4.7
2016-06-01,14.5
2016-09-01,3.7
2016-12-01,-1.9
2017-03-01,7.5
2017-06-01,16.2
2017-09-01,3.1
2017-12-01,-2.2
2018-03-01,-1.8
2018-06-01,17.0
2018-09-01,4.4
2018-12-01,-0.3
2019-03-01,7.5
2019-06-01,17.0
2019-09-01,5.3
2019-12-01,1.6
2020-03-01,6.8
2020-06-01,14.5
2020-09-01,3.3
2020-12-01,-4.1
2021-03-01,5.6
2021-06-01,14.9
2021-09-01,4.2
2021-12-01,1.0
2022-03-01,2.7
2022-06-01,17.0
2022-09-01,6.0
2022-12-01,0.1
