date,TXx_seasonal
1958-06-01,28.8
1958-09-01,28.5
1958-12-01,18.1
1959-03-01,25.7
1959-06-01,34.9
1959-09-01,29.2
1959-12-01,19.6
1960-03-01,25.2
1960-06-01,29.5
1960-09-01,24.9
1960-12-01,17.6
1961-03-01,21.6
1961-06-01,31.0
1961-09-01,28.7
1961-12-01,14.4
1962-03-01,22.4
1962-06-01,26.3
1962-09-01,29.0
1962-12-01,11.2
1963-03-01,25.6
1963-06-01,28.8
1963-09-01,25.2
1963-12-01,15.9
1964-03-01,27.1
1964-06-01,33.3
1964-09-01,28.3
1964-12-01,12.0
1965-03-01,25.8
1965-06-01,26.7
1965-09-01,24.2
1965-12-01,14.8
1966-03-01,26.0
1966-06-01,30.7
1966-09-01,25.1
1966-12-01,14.1
1967-03-01,26.6
1967-06-01,31.7
1967-09-01,25.7
1967-12-01,12.5
1968-03-01,26.8
1968-06-01,32.3
1968-09-01,25.7
1968-12-01,12.2
1969-03-01,29.6
1969-06-01,30.4
1969-09-01,25.9
1969-12-01,12.2
1970-03-01,23.2
1970-06-01,29.3
1970-09-01,24.4
1970-12-01,11.7
1971-03-01,26.7
1971-06-01,29.8
1971-09-01,23.9
1971-12-01,13.6
1972-03-01,22.4
1972-06-01,31.8
1972-09-01,21.9
1972-12-01,12.0
1973-03-01,23.7
1973-06-01,30.9
1973-09-01,29.5
1973-12-01,13.5
1974-03-01,23.4
1974-06-01,30.0
1974-09-01,26.5
1974-12-01,14.1
1975-03-01,22.7
1975-06-01,33.7
1975-09-01,22.7
1975-12-01,14.4
1976-03-01,29.9
1976-06-01,34.7
1976-09-01,22.5
1976-12-01,13.0
1977-03-01,25.6
1977-06-01,29.6
1977-09-01,22.6
1977-12-01,15.2
1978-03-01,26.4
1978-06-01,31.1
1978-09-01,23.1
1978-12-01,14.8
1979-03-01,26.9
1979-06-01,28.4
1979-09-01,27.8
1979-12-01,13.6
1980-03-01,23.6
1980-06-01,29.9
1980-09-01,25.9
1980-12-01,12.7
1981-03-01,28.0
1981-06-01,29.7
1981-09-01,25.7
1981-12-01,13.4
1982-03-01,26.4
1982-06-01,31.6
1982-09-01,27.6
1982-12-01,12.9
1983-03-01,23.2
1983-06-01,31.9
1983-09-01,25.4
1983-12-01,13.4
1984-03-01,23.0
1984-06-01,33.0
1984-09-01,27.4
1984-12-01,14.0
1985-03-01,29.0
1985-06-01,29.7
1985-09-01,26.8
1985-12-01,14.6
1986-03-01,26.7
1986-06-01,34.0
1986-09-01,23.8
1986-12-01,13.1
1987-03-01,24.6
1987-06-01,30.5
1987-09-01,27.3
1987-12-01,14.5
1988-03-01,25.3
1988-06-01,28.4
1988-09-01,24.3
1988-12-01,13.9
1989-03-01,28.7
1989-06-01,35.7
1989-09-01,27.3
1989-12-01,18.3
1990-03-01,27.6
1990-06-01,35.3
1990-09-01,25.7
1990-12-01,16.6
1991-03-01,23.9
1991-06-01,32.8
1991-09-01,28.4
1991-12-01,16.8
1992-03-01,30.3
1992-06-01,31.7
1992-09-01,25.8
1992-12-01,14.8
1993-03-01,27.3
1993-06-01,29.8
1993-09-01,25.4
1993-12-01,12.9
1994-03-01,23.4
1994-06-01,33.9
1994-09-01,21.7
1994-12-01,14.0
1995-03-01,26.8
1995-06-01,34.0
1995-09-01,24.7
1995-12-01,13.8
1996-03-01,27.6
1996-06-01,32.9
1996-09-01,21.6
1996-12-01,15.9
1997-03-01,27.0
1997-06-01,31.9
1997-09-01,24.5
1997-12-01,17.2
1998-03-01,31.0
1998-06-01,33.5
1998-09-01,23.2
1998-12-01,14.5
1999-03-01,29.5
1999-06-01,30.7
1999-09-01,29.1
1999-12-01,14.3
2000-03-01,27.8
2000-06-01,31.8
2000-09-01,26.0
2000-12-01,15.8
2001-03-01,25.9
2001-06-01,32.7
2001-09-01,24.8
2001-12-01,15.3
2002-03-01,24.7
2002-06-01,32.2
2002-09-01,22.8
2002-12-01,16.4
2003-03-01,27.3
2003-06-01,33.8
2003-09-01,29.4
2003-12-01,16.5
2004-03-01,24.0
2004-06-01,30.2
2004-09-01,26.7
2004-12-01,13.6
2005-03-01,31.7
2005-06-01,32.9
2005-09-01,29.0
2005-12-01,10.6
2006-03-01,25.8
2006-06-01,36.2
2006-09-01,29.5
2006-12-01,16.2
2007-03-01,28.7
2007-06-01,30.9
2007-09-01,22.0
2007-12-01,17.1
2008-03-01,26.8
2008-06-01,31.0
2008-09-01,27.2
2008-12-01,11.6
2009-03-01,27.0
2009-06-01,33.4
2009-09-01,28.9
2009-12-01,12.4
2010-03-01,25.9
2010-06-01,33.9
2010-09-01,23.7
2010-12-01,13.2
2011-03-01,28.3
2011-06-01,34.2
2011-09-01,29.7
2011-12-01,13.6
2012-03-01,28.6
2012-06-01,35.0
2012-09-01,29.1
2012-12-01,13.9
2013-03-01,24.2
2013-06-01,33.9
2013-09-01,31.6
2013-12-01,13.8
2014-03-01,25.4
2014-06-01,32.9
2014-09-01,25.7
2014-12-01,13.5
2015-03-01,25.2
2015-06-01,34.5
2015-09-01,21.1
2015-12-01,16.0
2016-03-01,25.9
2016-06-01,32.5
2016-09-01,31.2
2016-12-01,15.8
2017-03-01,31.1
2017-06-01,32.4
2017-09-01,25.7
2017-12-01,13.8
2018-03-01,28.7
2018-06-01,35.4
2018-09-01,26.1
2018-12-01,20.2
2019-03-01,25.2
2019-06-01,39.7
2019-09-01,27.1
2019-12-01,16.6
2020-03-01,27.2
2020-06-01,36.5
2020-09-01,34.3
2020-12-01,18.7
2021-03-01,25.6
2021-06-01,29.5
2021-09-01,27.5
2021-12-01,14.3
2022-03-01,27.1
2022-06-01,38.1
2022-09-01,30.9
2022-12-01,16.3
